         4040070 function calls (4012306 primitive calls) in 8.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.144    0.036 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2190(_form_blocks)
       19    0.133    0.007    0.143    0.008 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:2246(_stack_arrays)
        1    0.000    0.000    0.136    0.136 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:673(to_datetime)
       67    0.000    0.000    0.133    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:790(copy)
        4    0.000    0.000    0.111    0.028 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\generic.py:1420(aggregate)
        4    0.000    0.000    0.111    0.028 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:172(agg)
      2/1    0.000    0.000    0.109    0.109 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:7885(replace)
        1    0.000    0.000    0.109    0.109 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\base.py:267(replace_list)
       11    0.000    0.000    0.107    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1957(_cython_agg_general)
        2    0.000    0.000    0.107    0.053 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:415(agg_dict_like)
        2    0.000    0.000    0.107    0.053 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:1575(agg_or_apply_dict_like)
       11    0.000    0.000    0.105    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1971(array_func)
       11    0.000    0.000    0.105    0.010 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:812(_cython_operation)
        2    0.000    0.000    0.105    0.052 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:425(compute_dict_like)
        2    0.000    0.000    0.104    0.052 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\apply.py:496(<listcomp>)
        9    0.000    0.000    0.103    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\generic.py:232(aggregate)
        9    0.000    0.000    0.102    0.011 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\base.py:365(grouped_reduce)
        8    0.000    0.000    0.101    0.013 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:3082(sum)
        8    0.000    0.000    0.101    0.013 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\groupby.py:1896(_agg_general)
        1    0.007    0.007    0.099    0.099 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1021(replace_list)
        4    0.002    0.000    0.089    0.022 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:735(has_dropped_na)
        4    0.000    0.000    0.088    0.022 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:743(group_info)
        4    0.001    0.000    0.087    0.022 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:758(_get_compressed_codes)
  681/103    0.002    0.000    0.076    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:4811(__setitem__)
        1    0.000    0.000    0.074    0.074 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\tools\datetimes.py:209(_maybe_cache)
 17465/49    0.015    0.000    0.074    0.002 C:\Python311\Lib\copy.py:128(deepcopy)
    61/19    0.000    0.000    0.071    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5892(__setitem__)
        5    0.000    0.000    0.068    0.014 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5110(update)
        3    0.000    0.000    0.068    0.023 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\graph_objs\_figure.py:762(update_layout)
        3    0.000    0.000    0.068    0.023 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:1367(update_layout)
       40    0.000    0.000    0.065    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4271(__setitem__)
       40    0.000    0.000    0.064    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:4514(_set_item)
    14/10    0.000    0.000    0.063    0.006 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:3852(_perform_update)
        1    0.000    0.000    0.062    0.062 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\series.py:4620(map)
        1    0.000    0.000    0.062    0.062 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:307(unique)
        1    0.047    0.047    0.062    0.062 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:427(unique_with_mask)
       11    0.001    0.000    0.060    0.005 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:610(factorize)
        8    0.000    0.000    0.060    0.008 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:687(codes)
        8    0.000    0.000    0.060    0.008 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\ops.py:690(<listcomp>)
       18    0.000    0.000    0.060    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\grouper.py:689(codes)
        9    0.000    0.000    0.060    0.007 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\groupby\grouper.py:777(_codes_and_uniques)
       13    0.000    0.000    0.060    0.005 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexes\base.py:3820(get_indexer)
       26    0.005    0.000    0.059    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:261(_isna_array)
        1    0.001    0.001    0.058    0.058 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\core\options_flow_analyzer.py:254(build_enhanced_strike_metrics)
        1    0.000    0.000    0.057    0.057 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\accessor.py:3191(lower)
        1    0.000    0.000    0.057    0.057 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\strings\object_array.py:443(_str_lower)
        1    0.000    0.000    0.055    0.055 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\src\ui\tabs\flow_tab.py:320(update_strike_chart)
       45    0.000    0.000    0.055    0.001 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\frame.py:5242(_sanitize_column)
        7    0.054    0.008    0.054    0.008 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\dtypes\missing.py:305(_isna_string_dtype)
       11    0.041    0.004    0.054    0.005 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\algorithms.py:548(factorize_array)
   178/20    0.001    0.000    0.049    0.002 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:5251(_set_compound_prop)
 1895/257    0.023    0.000    0.048    0.000 C:\Python311\Lib\copy.py:227(_deepcopy_dict)
        3    0.013    0.004    0.044    0.015 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1060(<genexpr>)
       11    0.044    0.004    0.044    0.004 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\indexes\base.py:3955(_get_indexer)
   748693    0.043    0.000    0.043    0.000 {method 'upper' of 'str' objects}
        2    0.001    0.000    0.041    0.021 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\basedatatypes.py:3604(write_html)
        2    0.001    0.001    0.040    0.020 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\io\_html.py:377(write_html)
        2    0.000    0.000    0.039    0.020 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\_plotly_utils\basevalidators.py:2751(validate_coerce)
        1    0.000    0.000    0.039    0.039 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\subplots.py:6(make_subplots)
        1    0.000    0.000    0.039    0.039 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\plotly\_subplots.py:42(make_subplots)
 2030/444    0.003    0.000    0.037    0.000 C:\Python311\Lib\copy.py:201(_deepcopy_list)
        2    0.000    0.000    0.036    0.018 C:\Python311\Lib\copy.py:259(_reconstruct)
       13    0.000    0.000    0.035    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\generic.py:6463(astype)
       13    0.000    0.000    0.034    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\managers.py:421(astype)
       13    0.000    0.000    0.034    0.003 C:\Users\decle\PycharmProjects\tws_optionflow_pro_v2\.venv\Lib\site-packages\pandas\core\internals\blocks.py:723(astype)
